date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:20	556/556	---M-Z	200	added ('OK')	text/plain	date:Thu,%2022%20Sep%202022%2012:26:01%20GMT	https://www.kcl.ac.uk/robots.txt		(from )
16:06:20	94140/94140	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2011:00:46%20GMT	https://www.kcl.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/index.html	(from )
16:06:21	389507/389507	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Aug%202022%2008:50:10%20GMT	https://www.kcl.ac.uk/siteelements/2017/css/style.min.css?version=7806952	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/siteelements/2017/css/style.min1b57.css	(from https://www.kcl.ac.uk/)
16:06:22	86843/86843	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Feb%202018%2017:02:50%20GMT	https://www.kcl.ac.uk/SiteElements/2017/js/jquery-3.2.1.min.js?build=152187	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/SiteElements/2017/js/jquery-3.2.1.min3573.js	(from https://www.kcl.ac.uk/)
16:06:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Oct%202022%2010:37:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.googletagmanager.com/gtm.25445.delayed	(from https://www.kcl.ac.uk/)
16:06:22	66112/66112	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DAAAB10FD791B2	https://cdn.cookielaw.org/consent/167b1744-c18f-47c4-bd0c-e8420eacd9e1/OtAutoBlock.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/cdn.cookielaw.org/consent/167b1744-c18f-47c4-bd0c-e8420eacd9e1/OtAutoBlock.js	(from https://www.kcl.ac.uk/)
16:06:22	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAB6F624527072	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.kcl.ac.uk/)
16:06:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html		https://www.kcl.ac.uk/study	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/study.5.delayed	(from https://www.kcl.ac.uk/)
16:06:25	173/173	---M-Z	302	error ('Redirect')	text/html	date:Wed,%2026%20Oct%202022%2009:57:10%20GMT	https://www.kcl.ac.uk/accommodation/index.aspx	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/accommodation/index.7.delayed	(from https://www.kcl.ac.uk/)
16:06:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.kcl.ac.uk/accommodation/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web5/Site5/www.kcl.ac.uk/accommodation/index.html	(from https://www.kcl.ac.uk/)
